date,average price,"
average temperature","
highest temperature","
Highest-lowest temperature","
choejeogion
lowest temperature","
Monthly precipitation","
highest humidity","
lowest humidity","
sunlight"
2018-01-01,,-1.5,3.8,8.9,-5.1,0,57,19,8.3
2018-01-02,,-1.65,2.8,7.5,-4.7,0,64.5,19,7.9
2018-01-03,5380,-2.7,1.53,7.03,-5.5,0,61.33,22,8.6
2018-01-04,7240,-3.25,0.9,7.2,-6.3,0,60.25,24.25,6.2
2018-01-05,8410,-3.28,1.04,7.2,-6.16,0,59.6,25.8,8.2
2018-01-06,8930,-3.25,1.35,7.62,-6.27,0,61,25.83,8.8
2018-01-07,8930,-2.96,1.56,7.74,-6.19,0,61,26.43,3.1
2018-01-08,8310,-2.31,1.86,7.42,-5.56,0,64.5,26.88,0.5
2018-01-09,7960,-2.49,1.52,7.14,-5.62,0,66.44,28.67,8.4
2018-01-10,7870,-2.95,0.89,6.98,-6.09,0,68.2,28.8,8.8
2018-01-11,8130,-3.66,0.14,6.91,-6.77,0,67.64,29.55,8.7
2018-01-12,7990,-4.24,-0.33,7.16,-7.48,0,66.17,28.75,8.8
2018-01-13,7720,-4.26,-0.39,7.02,-7.42,0,67.38,29.54,0.9
2018-01-14,7250,-3.94,0.02,7.22,-7.2,0,68.36,30.86,5.6
2018-01-15,7360,-3.37,0.53,7.13,-6.59,0,69.6,31,6.5
2018-01-16,7820,-2.92,0.92,7.04,-6.12,0,69.81,31.25,0.5
2018-01-17,7550,-2.48,1.38,7,-5.62,0,70.18,32.29,4.8
2018-01-18,6880,-2.21,1.56,6.81,-5.25,0,71.06,32.33,2.4
2018-01-19,6020,-2,1.76,6.87,-5.11,0,70.53,31.68,8.7
2018-01-20,5080,-1.7,2.02,6.92,-4.9,0,70.4,32.2,5.3
2018-01-21,4460,-1.59,2.19,7.03,-4.84,0,70.05,31.43,8.2
2018-01-22,4400,-1.48,2.27,7.12,-4.85,0.14,71.23,31.14,0.7
2018-01-23,4160,-1.9,1.95,7.23,-5.28,0.27,71.52,30.83,9.1
2018-01-24,3790,-2.4,1.42,7.15,-5.73,0.39,70.46,30.5,8.9
2018-01-25,3620,-2.87,0.98,7.14,-6.16,0.5,69.36,30.2,8.3
2018-01-26,4270,-3.33,0.53,7.14,-6.61,0.6,68.31,30.04,7.9
2018-01-27,5010,-3.59,0.39,7.34,-6.95,0.69,67.93,29.78,9
2018-01-28,5570,-3.67,0.33,7.36,-7.03,0.77,67.32,29.43,7.6
2018-01-29,5680,-3.84,0.16,7.34,-7.19,0.86,66.69,29.14,8.9
2018-01-30,5880,-3.9,0.12,7.45,-7.33,0.93,67.5,29.03,5.6
2018-01-31,5680,-3.86,0.08,7.34,-7.26,1,68.1,29.03,1.8
2018-02-01,5380,-3.89,0.12,7.42,-7.31,0.97,68,28.81,9.1
2018-02-02,5330,-3.86,0.23,7.55,-7.32,0.94,68.09,28.67,8.8
2018-02-03,4880,-3.95,0.16,7.57,-7.41,0.91,68.56,28.68,9.1
2018-02-04,4640,-4.11,0.01,7.57,-7.56,0.89,68.23,28.6,9.1
2018-02-05,4580,-4.26,-0.14,7.54,-7.68,0.86,67.89,28.44,9.3
2018-02-06,3970,-4.41,-0.29,7.53,-7.82,0.84,67.35,28.3,9
2018-02-07,3550,-4.51,-0.32,7.64,-7.97,0.82,67.18,28,9.2
2018-02-08,3090,-4.53,-0.26,7.75,-8.01,0.79,67.18,27.87,9.2
2018-02-09,2720,-4.42,-0.1,7.84,-7.94,0.77,67.32,27.75,2.2
2018-02-10,2810,-4.31,-0.02,7.89,-7.92,0.76,67.68,27.39,5.3
2018-02-11,2610,-4.35,-0.08,7.88,-7.95,0.74,67.71,27.21,6.6
2018-02-12,2750,-4.39,-0.12,7.88,-7.99,0.72,67.58,27.12,8.7
2018-02-13,3260,-4.32,-0.02,7.96,-7.98,0.7,67.68,27.34,8.3
2018-02-14,3260,-4.13,0.18,7.96,-7.78,0.69,67.76,27.33,3.3
2018-02-15,2990,-4.04,0.26,7.94,-7.68,0.67,67.13,27.04,8.5
2018-02-16,3210,-3.98,0.36,8,-7.64,0.66,67.23,26.79,9.7
2018-02-17,3490,-3.97,0.38,8.01,-7.62,0.65,66.71,26.52,9
2018-02-18,3520,-3.91,0.48,8.05,-7.57,0.63,66.16,26.29,7.2
2018-02-19,3020,-3.79,0.61,8.06,-7.46,0.62,66.34,26.42,4.8
2018-02-20,2530,-3.69,0.7,8.06,-7.36,0.61,66.71,26.24,8.3
2018-02-21,1060,-3.63,0.77,8.08,-7.3,0.6,66.56,25.98,9.8
2018-02-22,850,-3.55,0.86,8.1,-7.24,0.58,66.77,26.26,6.4
2018-02-23,1110,-3.38,1,8.09,-7.09,0.66,67.33,26.74,4.8
2018-02-24,1260,-3.25,1.12,8.09,-6.97,0.74,67.69,26.56,7.6
2018-02-25,1260,-3.14,1.24,8.12,-6.88,0.81,67.59,26.38,9.2
2018-02-26,1450,-3.04,1.4,8.21,-6.81,0.88,67.7,26.32,10.2
2018-02-27,1830,-2.91,1.49,8.17,-6.68,0.95,67.6,26.48,0
2018-02-28,2080,-2.78,1.6,8.14,-6.54,1.28,68.1,26.83,0
2018-03-01,2320,-2.73,1.62,8.12,-6.5,1.68,68.58,26.93,8.7
2018-03-02,2510,-2.7,1.69,8.19,-6.5,2.06,68.33,26.79,10.3
2018-03-03,2630,-2.48,1.92,8.3,-6.38,2.43,68.63,26.56,10.1
2018-03-04,2740,-2.28,2.08,8.23,-6.16,2.9,69.08,27.4,0
2018-03-05,2940,-2.16,2.22,8.26,-6.04,3.4,69.47,27.55,7
2018-03-06,2760,-2.04,2.36,8.32,-5.96,3.94,69.63,27.49,10.6
2018-03-07,2360,-1.91,2.48,8.32,-5.84,4.47,69.83,27.59,3
